transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
he leapt again and the club caught him once more,data/l2arctic/ABA/wav/arctic_a0200.wav,ABA,Arabic,M,he lipped again and the glub cold him once more
he cried and swung the club wildly,data/l2arctic/ABA/wav/arctic_a0201.wav,ABA,Arabic,M,he cried and dswung lhe glub widely
she turned fearing that jacques might see what was in her face,data/l2arctic/ABA/wav/arctic_a0202.wav,ABA,Arabic,M,she turn it feeling that jeck might see what was in here face
they were following the shore of a lake,data/l2arctic/ABA/wav/arctic_a0203.wav,ABA,Arabic,M,they were forlongs a short of lake
the wolf dog thrust his gaunt muzzle toward him,data/l2arctic/ABA/wav/arctic_a0204.wav,ABA,Arabic,M,the worlfodook thrist his gant muzzled towards him
he says he bought him of jacques le beau,data/l2arctic/ABA/wav/arctic_a0206.wav,ABA,Arabic,M,he says he both him of jec lebol
how much was it,data/l2arctic/ABA/wav/arctic_a0207.wav,ABA,Arabic,M,how much was it
youth had come back to her freed from the yoke of oppression,data/l2arctic/ABA/wav/arctic_a0208.wav,ABA,Arabic,M,youth had come back to here fred from the yok of oprision
it was not a large lake and almost round,data/l2arctic/ABA/wav/arctic_a0209.wav,ABA,Arabic,M,it was not alargelique and almost reant
its diameter was not more than two hundred yards,data/l2arctic/ABA/wav/arctic_a0210.wav,ABA,Arabic,M,its by a meter was not more than two hundred yards
it drowned all sound that brute agony and death may have made,data/l2arctic/ABA/wav/arctic_a0211.wav,ABA,Arabic,M,it drand all sound that proute a gony and dith may have made
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/ABA/wav/arctic_a0212.wav,ABA,Arabic,M,frish cases is till able to oak they glustered about this pok's men
between him and the beach was the cane grass fence of the compound,data/l2arctic/ABA/wav/arctic_a0213.wav,ABA,Arabic,M,between him and the beech was the kame gross fence over the compolent
besides he was paid one case of tobacco per head,data/l2arctic/ABA/wav/arctic_a0214.wav,ABA,Arabic,M,besides he was bade one case ofer to baccoberhead
they die out of spite,data/l2arctic/ABA/wav/arctic_a0215.wav,ABA,Arabic,M,they die out of spite
the other felt a sudden wave of irritation rush through him,data/l2arctic/ABA/wav/arctic_a0216.wav,ABA,Arabic,M,the other failed a suden wave of elitation rush throw him
oppressive as the heat had been it was now even more oppressive,data/l2arctic/ABA/wav/arctic_a0217.wav,ABA,Arabic,M,orprecive athe heat had been it was now even more or pricive
the ringing of the big bell aroused him,data/l2arctic/ABA/wav/arctic_a0218.wav,ABA,Arabic,M,the linging over the big bill arosedo him
at first he puzzled over something untoward he was sure had happened,data/l2arctic/ABA/wav/arctic_a0219.wav,ABA,Arabic,M,at first he buzzened over something untoward he was sure had happened
a dead man is of no use on a plantation,data/l2arctic/ABA/wav/arctic_a0220.wav,ABA,Arabic,M,i did man as offnoyoas on a plentation
i dont know why youre here at all,data/l2arctic/ABA/wav/arctic_a0221.wav,ABA,Arabic,M,i don't know why you are here at all
my im almost homesick for it already,data/l2arctic/ABA/wav/arctic_a0223.wav,ABA,Arabic,M,mi i am almost homesak for it olready
she nodded and her eyes grew soft and moist,data/l2arctic/ABA/wav/arctic_a0224.wav,ABA,Arabic,M,she noted and the her eyes grow soft and moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/ABA/wav/arctic_a0225.wav,ABA,Arabic,M,i was prot up the way most girless in hoi are prot up
that came before my a b cs,data/l2arctic/ABA/wav/arctic_a0226.wav,ABA,Arabic,M,they came before my abeasies
it was the same way with our revolvers and rifles,data/l2arctic/ABA/wav/arctic_a0227.wav,ABA,Arabic,M,it was ithe same way with our arevolvers and rifles
but it contributed to the smash,data/l2arctic/ABA/wav/arctic_a0228.wav,ABA,Arabic,M,bouht it quentibuted to hizesmeshe
the last one i knew was an overseer,data/l2arctic/ABA/wav/arctic_a0229.wav,ABA,Arabic,M,the lost one i knew was an overseeif
do you know any good land around here,data/l2arctic/ABA/wav/arctic_a0230.wav,ABA,Arabic,M,do you know any good land around here
the resident commissioner is away in australia,data/l2arctic/ABA/wav/arctic_a0231.wav,ABA,Arabic,M,zerizident commissioner is a way inistrilia
i cannot follow you she said,data/l2arctic/ABA/wav/arctic_a0232.wav,ABA,Arabic,M,i can not follow you she said
i never allow what cant be changed to annoy me,data/l2arctic/ABA/wav/arctic_a0233.wav,ABA,Arabic,M,i never alew what can not be chenged to annoy me
why the average review is more nauseating than cod liver oil,data/l2arctic/ABA/wav/arctic_a0234.wav,ABA,Arabic,M,why the avragitiview is more new seating than cod livero
his voice was passionately rebellious,data/l2arctic/ABA/wav/arctic_a0235.wav,ABA,Arabic,M,his voice was pessiently arupillius
dont you see i hate you,data/l2arctic/ABA/wav/arctic_a0236.wav,ABA,Arabic,M,don't you see i hath you
so hughie and i did the managing ourselves,data/l2arctic/ABA/wav/arctic_a0237.wav,ABA,Arabic,M,so haggy and i did emanaging hoursives
it happened to him at the gallina society in oakland one afternoon,data/l2arctic/ABA/wav/arctic_a0238.wav,ABA,Arabic,M,it habend to him as ze galemia society in ouculend one afternol
wash your hands of me,data/l2arctic/ABA/wav/arctic_a0240.wav,ABA,Arabic,M,war your hands off me
i think its much nicer to quarrel,data/l2arctic/ABA/wav/arctic_a0241.wav,ABA,Arabic,M,i think it's much nicea to qualon
i saw it when she rolled,data/l2arctic/ABA/wav/arctic_a0242.wav,ABA,Arabic,M,i saw et a when she rolled
i only read the quotations,data/l2arctic/ABA/wav/arctic_a0243.wav,ABA,Arabic,M,i onerried sequetations
he was the soul of devotion to his employers,data/l2arctic/ABA/wav/arctic_a0244.wav,ABA,Arabic,M,he was a sort of devotion to his employres
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/ABA/wav/arctic_a0245.wav,ABA,Arabic,M,out of his itine hundred he laid assied sicusteen hundred acheer
you have heard always how he was the lover of the princess naomi,data/l2arctic/ABA/wav/arctic_a0246.wav,ABA,Arabic,M,you have heared allwas how he was the lover of the princes know me
they ought to pass here some time today,data/l2arctic/ABA/wav/arctic_a0247.wav,ABA,Arabic,M,the owd to puss here some time to day
i had been sad too long already,data/l2arctic/ABA/wav/arctic_a0248.wav,ABA,Arabic,M,i had been said to lonk already
all eyes however were staring at him in certitude of expectancy,data/l2arctic/ABA/wav/arctic_a0249.wav,ABA,Arabic,M,will eyes however whear staring at him in sestitude of expectency
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/ABA/wav/arctic_a0250.wav,ABA,Arabic,M,he had observed s a business life of hoi and devillabed avolting ampition
i may manage to freight a cargo back as well,data/l2arctic/ABA/wav/arctic_a0251.wav,ABA,Arabic,M,i may manage to frit a cargoback as well
obrien had been a clean living young man with ideals,data/l2arctic/ABA/wav/arctic_a0252.wav,ABA,Arabic,M,oprin had been a cleene living be yong man who was ideas
he it was that lived to found the family of the patino,data/l2arctic/ABA/wav/arctic_a0253.wav,ABA,Arabic,M,heit was that lived to found the family ovr the batino
straight out they swam their heads growing smaller and smaller,data/l2arctic/ABA/wav/arctic_a0254.wav,ABA,Arabic,M,is tri outwith thes wame ther heds growing the smorler and e smorler
you wont die of malnutrition be sure of that,data/l2arctic/ABA/wav/arctic_a0255.wav,ABA,Arabic,M,youin die of malitrician besure of that
they are coming ashore whoever they are,data/l2arctic/ABA/wav/arctic_a0257.wav,ABA,Arabic,M,the arcoming ashore whoever the are
soaked in seawater they offset the heat rays,data/l2arctic/ABA/wav/arctic_a0258.wav,ABA,Arabic,M,sobed in se water they ofsit the hitrays
think of investing in such an adventure,data/l2arctic/ABA/wav/arctic_a0259.wav,ABA,Arabic,M,think of invisting in such an adventure
nobody knew his history they of the junta least of all,data/l2arctic/ABA/wav/arctic_a0260.wav,ABA,Arabic,M,nobody know his history the of the ganta list of own
i have been doubly baptized,data/l2arctic/ABA/wav/arctic_a0261.wav,ABA,Arabic,M,i have been doubly vebotized
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/ABA/wav/arctic_a0262.wav,ABA,Arabic,M,they worden to besweeping a pig vissil like the motthe
joan looked triumphantly at sheldon who bowed,data/l2arctic/ABA/wav/arctic_a0263.wav,ABA,Arabic,M,jon loed tumph tonfilently a childen hobot
and i hope youve got plenty of chain out captain young,data/l2arctic/ABA/wav/arctic_a0264.wav,ABA,Arabic,M,and i hope you have got  planto ofachin out captain younk
the discovery seemed to have been made on the spur of the moment,data/l2arctic/ABA/wav/arctic_a0265.wav,ABA,Arabic,M,thet discovery seemed to have been made on the poor of the moment
they handled two men already both grub thieves,data/l2arctic/ABA/wav/arctic_a0266.wav,ABA,Arabic,M,the handed to men oridy bos grop's teives
eli harding asked as shunk started to follow,data/l2arctic/ABA/wav/arctic_a0267.wav,ABA,Arabic,M,any hard link asket as shank started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/ABA/wav/arctic_a0268.wav,ABA,Arabic,M,now gohead an did me in a stedyt fordway what has happened
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/ABA/wav/arctic_a0269.wav,ABA,Arabic,M,that's where they cut off sascuotos shiefs and is killed oll hands
and after the bath a shave would not be bad,data/l2arctic/ABA/wav/arctic_a0270.wav,ABA,Arabic,M,and after the beth a shave ordnould be bad
now please give a plain statement of what occurred,data/l2arctic/ABA/wav/arctic_a0271.wav,ABA,Arabic,M,now bellies give a plan estatment of what o charet
you can take a vacation on pay,data/l2arctic/ABA/wav/arctic_a0272.wav,ABA,Arabic,M,you cantic avegitia obey
and raoul listened again to the tale of the house,data/l2arctic/ABA/wav/arctic_a0274.wav,ABA,Arabic,M,and drowel listened again to the tal of the house
there are no kiddies and half grown youths among them,data/l2arctic/ABA/wav/arctic_a0275.wav,ABA,Arabic,M,there ar nor kiddes and the holve groan youth among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/ABA/wav/arctic_a0276.wav,ABA,Arabic,M,olonge a tol was one hundred and the fourty miles en sillcomfrance
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/ABA/wav/arctic_a0277.wav,ABA,Arabic,M,mago found a sifting boysonus at mostfeal in the pent capain
it would give me nervous prostration,data/l2arctic/ABA/wav/arctic_a0278.wav,ABA,Arabic,M,it would give me nearvous brustation
she said with chattering teeth,data/l2arctic/ABA/wav/arctic_a0279.wav,ABA,Arabic,M,she said with shuttering teath
ill be out of my head in fifteen minutes,data/l2arctic/ABA/wav/arctic_a0280.wav,ABA,Arabic,M,il be out of my head and fifteen minutes
i do not blame you for anything remember that,data/l2arctic/ABA/wav/arctic_a0281.wav,ABA,Arabic,M,i don't play im you for anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/ABA/wav/arctic_a0282.wav,ABA,Arabic,M,if you mean to insinuate prent would began holtly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/ABA/wav/arctic_a0283.wav,ABA,Arabic,M,the woman in you is only incidental accidental and erelevant
there was no forecasting this strange girls processes,data/l2arctic/ABA/wav/arctic_a0284.wav,ABA,Arabic,M,there was no for custing this trengigalis prosis
but what they want with your toothbrush is more than i can imagine,data/l2arctic/ABA/wav/arctic_a0285.wav,ABA,Arabic,M,but what they want with he your tooth brush is more than i can imeasine
give them their choice between a fine or an official whipping,data/l2arctic/ABA/wav/arctic_a0286.wav,ABA,Arabic,M,give them their choice between a fine or and official wiping
keep an eye on him,data/l2arctic/ABA/wav/arctic_a0287.wav,ABA,Arabic,M,keep un eye inh him
those are my oysters he said at last,data/l2arctic/ABA/wav/arctic_a0288.wav,ABA,Arabic,M,those are my ousters he said at lost
they are not regular oyster pirates nicholas continued,data/l2arctic/ABA/wav/arctic_a0289.wav,ABA,Arabic,M,the are not ariglar oist of pirates nuclos continuen
the weeks had gone by and no overt acts had been attempted,data/l2arctic/ABA/wav/arctic_a0291.wav,ABA,Arabic,M,zzo eeks had gone by and no over t actis had been attempted
here in the midmorning the first casualty occurred,data/l2arctic/ABA/wav/arctic_a0292.wav,ABA,Arabic,M,here and temid morning the first catuality o charat
they were deep in the primeval forest,data/l2arctic/ABA/wav/arctic_a0293.wav,ABA,Arabic,M,they were dip in the primall first
he had been foiled in his attempt to escape,data/l2arctic/ABA/wav/arctic_a0294.wav,ABA,Arabic,M,he had been foiled in his attempt toscape
and twenty men could hold it with spears and arrows,data/l2arctic/ABA/wav/arctic_a0295.wav,ABA,Arabic,M,and twenty men cold hold it with pierse and ourse
bassett was a fastidious man,data/l2arctic/ABA/wav/arctic_a0296.wav,ABA,Arabic,M,bus it was a istidious men
theres a big english general right now whose name is roberts,data/l2arctic/ABA/wav/arctic_a0297.wav,ABA,Arabic,M,that is a pake angrish egendea right now whose name is roberes
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/ABA/wav/arctic_a0298.wav,ABA,Arabic,M,sis as it promise of continuant acquaintance ngive sexon a little joytril
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/ABA/wav/arctic_a0299.wav,ABA,Arabic,M,i till you iam disgusteed with thith adventure tomplury an it
from my earliest recollection my sleep was a period of terror,data/l2arctic/ABA/wav/arctic_a0300.wav,ABA,Arabic,M,from my eaidlest reqallection my sleee was period of tero
but all my dreams violated this law,data/l2arctic/ABA/wav/arctic_a0301.wav,ABA,Arabic,M,but all my dreams voolated ethislow
it is very plausible to such people a most convincing hypothesis,data/l2arctic/ABA/wav/arctic_a0302.wav,ABA,Arabic,M,its a very possible to such people are most convincing high posive
but they make the mistake of ignoring their own duality,data/l2arctic/ABA/wav/arctic_a0303.wav,ABA,Arabic,M,bull they make the mistake of ignoring thei own deorlity
i graduated last of my class,data/l2arctic/ABA/wav/arctic_a0304.wav,ABA,Arabic,M,i've ge thu ited lust of myglus
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/ABA/wav/arctic_a0305.wav,ABA,Arabic,M,she had no fixied velurs to be entered by adjectives and adverse
he was pressing beyond the limits of his vocabulary,data/l2arctic/ABA/wav/arctic_a0306.wav,ABA,Arabic,M,he was bressing beyond the limits of his vocapary
his infernal chattering worries me even now as i think of it,data/l2arctic/ABA/wav/arctic_a0308.wav,ABA,Arabic,M,his infineal shettering wards me even now as i think of it
white leghorns said missus mortimer,data/l2arctic/ABA/wav/arctic_a0309.wav,ABA,Arabic,M,white lighorn said missus mor timor
